model	full class	exception	tine	include	len	class
CaTissueSuite	edu.wustl.catissuecore.domain.Race	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.742	FALSE	30	Race
CaTissueSuite	edu.wustl.catissuecore.domain.ConsentTierStatus	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.743	FALSE	30	ConsentTierStatus
CaTissueSuite	edu.wustl.catissuecore.domain.Site	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.749	FALSE	30	Site
CaTissueSuite	edu.wustl.catissuecore.domain.Department	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.759	FALSE	30	Department
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenArrayContent	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.762	FALSE	30	SpecimenArrayContent
CaTissueSuite	edu.wustl.catissuecore.domain.SpecimenProtocol	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.797	FALSE	30	SpecimenProtocol
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.SemanticType	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.822	FALSE	30	pathology.SemanticType
CaTissueSuite	edu.wustl.catissuecore.domain.ReportedProblem	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.845	FALSE	30	ReportedProblem
CaTissueSuite	edu.wustl.catissuecore.domain.Institution	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.861	FALSE	30	Institution
CaTissueSuite	edu.wustl.catissuecore.domain.ParticipantMedicalIdentifier	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.878	FALSE	30	ParticipantMedicalIdentifier
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.ConceptReferentClassification	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.88	FALSE	30	pathology.ConceptReferentClassification
CaTissueSuite	edu.wustl.catissuecore.domain.pathology.QuarantineEventParameter	gov.nih.nci.cagrid.data.faults.QueryProcessingExceptionType	0.941	FALSE	30	pathology.QuarantineEventParameter
